Source,Target,Weight
Advanced Sleep Wake Phase Disorder,Advance in the sleep period,4
Advanced Sleep Wake Phase Disorder,Daytime sleepiness,1
Advanced Sleep Wake Phase Disorder,Insomnia early,4
Benign Sleep Myoclonus Of Infancy,Myoclonic jerks (icsd),5
Central Sleep Apnea Due To High Altitude Periodic Breathing,Breath abnormalities complaint,4
Central Sleep Apnea Due To High Altitude Periodic Breathing,Breath abnormalities observation,4
Central Sleep Apnea Due To High Altitude Periodic Breathing,Daytime sleepiness,3
Central Sleep Apnea Due To High Altitude Periodic Breathing,Insomnia initiating,1
Central Sleep Apnea Due To High Altitude Periodic Breathing,Insomnia maintaining,1
Central Sleep Apnea Due To High Altitude Periodic Breathing,Non restorative sleep,3
Central Sleep Apnea Due To High Altitude Periodic Breathing,Headache (icsd),1
Central Sleep Apnea With Cheyne Stokes Breathing,Breath abnormalities complaint,4
Central Sleep Apnea With Cheyne Stokes Breathing,Breath abnormalities observation,4
Central Sleep Apnea With Cheyne Stokes Breathing,Insomnia initiating,1
Central Sleep Apnea With Cheyne Stokes Breathing,Insomnia maintaining,1
Central Sleep Apnea With Cheyne Stokes Breathing,Non restorative sleep,3
Central Sleep Apnea With Cheyne Stokes Breathing,Snoring,1
Confusional Arousals,Abnormal responsiveness,5
Confusional Arousals,Altered oniric activity,1
Confusional Arousals,Amnesia,3
Confusional Arousals,Behavioral symptoms during sleep,1
Confusional Arousals,Incomplete awakening icsd,4
Delayed Sleep Wake Phase Disorder,Daytime sleepiness,1
Delayed Sleep Wake Phase Disorder,Delay in the sleep period,4
Delayed Sleep Wake Phase Disorder,Insomnia initiating,4
Delayed Sleep Wake Phase Disorder,Sleep inertia,1
Exploding Head Syndrome,Fright behavior,5
Exploding Head Syndrome,Insomnia initiating,1
Exploding Head Syndrome,Insomnia maintaining,1
Exploding Head Syndrome,Hallucination (icsd),1
Hypersomnia Associated With Psychiatric Disorder,Daytime sleepiness,4
Hypersomnia Associated With Psychiatric Disorder,Lapses into sleep,4
Idiopathic Hypersomnia,Daytime sleepiness,5
Idiopathic Hypersomnia,Lapses into sleep,4
Idiopathic Hypersomnia,Long sleep time,5
Idiopathic Hypersomnia,Sleep inertia,4
Insomnia Disorder Chronic,Affective symptoms,3
Insomnia Disorder Chronic,Daytime sleepiness,1
Insomnia Disorder Chronic,Fatigue,4
Insomnia Disorder Chronic,Insomnia early,5
Insomnia Disorder Chronic,Insomnia initiating,5
Insomnia Disorder Chronic,Insomnia maintaining,5
Insomnia Disorder Chronic,Sleep resistance,4
Insomnia Disorder Chronic,Behavioral symptoms during wake (icsd),3
Insomnia Disorder Chronic,Cognitive symptoms (icsd),3
Insomnia Disorder Chronic,Malaise (icsd),1
Insomnia Disorder Short Term,Affective symptoms,2
Insomnia Disorder Short Term,Daytime sleepiness,1
Insomnia Disorder Short Term,Fatigue,3
Insomnia Disorder Short Term,Insomnia early,5
Insomnia Disorder Short Term,Insomnia initiating,5
Insomnia Disorder Short Term,Insomnia maintaining,5
Insomnia Disorder Short Term,Sleep resistance,3
Insomnia Disorder Short Term,Behavioral symptoms during wake (icsd),2
Insomnia Disorder Short Term,Cognitive symptoms (icsd),2
Insomnia Disorder Short Term,Malaise (icsd),1
Insufficient Sleep Syndrome,Daytime sleepiness,4
Insufficient Sleep Syndrome,Lapses into sleep,4
Insufficient Sleep Syndrome,Short sleep time,4
